model,split,metric,mean,std,min,max,n_seeds
esm_fp_mlp,scaffold,spearman_rho,0.6907643399818315,0.004604657575847481,0.6841909905796317,0.6948022799752477,5
esm_fp_mlp,scaffold,auroc,0.8333296856610521,0.0014009529555173935,0.8308776939560485,0.8343009937927965,5
esm_fp_mlp,target,rmse,1.1799197323509127,0.015048016144606638,1.1640029016245872,1.1988712947510822,5
esm_fp_mlp,target,mae,0.919382309947857,0.010913837518380114,0.9066954441260588,0.9363088326565417,5
esm_fp_mlp,target,r2,0.10221002382067959,0.022900396312032046,0.07325886390774616,0.12638226242428297,5
esm_fp_mlp,target,pearson_r,0.3877172020995573,0.019960840903558874,0.35659050519446817,0.4106012553363076,5
esm_fp_mlp,target,spearman_rho,0.37333889093814443,0.014933484616428142,0.3489479052027859,0.3882128503207465,5
esm_fp_mlp,target,auroc,0.6539479857578513,0.010222667060359795,0.6382957157121901,0.6658572414275772,5
gnn,random,rmse,0.8277254204929102,0.0019124143184844826,0.8257066525817847,0.8308090461612735,5
gnn,random,mae,0.6383746825656879,0.002225193775019888,0.6363137385197114,0.6417728103469272,5
gnn,random,r2,0.5776332832051609,0.0019533191082568313,0.5744822507851715,0.5796928150690395,5
gnn,random,pearson_r,0.7608987972751569,0.0013549809454722651,0.7587702929442619,0.7624418093583302,5
gnn,random,spearman_rho,0.7444436402123402,0.0012196910595855123,0.7431503010959167,0.7461017685618242,5
gnn,random,auroc,0.8577619103061117,0.0009953974062916224,0.85629442675401,0.8585721253813309,5
gnn,scaffold,rmse,0.9474577957434601,0.005284807416802644,0.9397131297989935,0.9542512513568996,5
gnn,scaffold,mae,0.7344855141609303,0.00295000936724798,0.7316517286231738,0.7393255106463925,5
gnn,scaffold,r2,0.4451089371478002,0.00618591450824694,0.43713706659754814,0.4541569772716829,5
gnn,scaffold,pearson_r,0.6733903472452523,0.0023394201232471534,0.6702934256825566,0.6765230296104716,5
gnn,scaffold,spearman_rho,0.654262574773519,0.0018376541691983517,0.6523522226567866,0.6570970641519085,5
gnn,scaffold,auroc,0.8160479317352991,0.0021189552414657585,0.8130220430979317,0.818977989092053,5
gnn,target,rmse,1.1773827424767394,0.03150748180430072,1.1393807995350638,1.221733795938656,5
gnn,target,mae,0.9347204503419615,0.02575962534360327,0.9048772936470418,0.9724876169234934,5
gnn,target,r2,0.1056708491072206,0.047988965509390066,0.03757589342691181,0.16295055933123848,5
gnn,target,pearson_r,0.40310435632708874,0.03343343870167056,0.36303521226844737,0.44286997944846995,5
gnn,target,spearman_rho,0.35863171431892454,0.027216632674717727,0.3268056809102665,0.38482479806721365,5
gnn,target,auroc,0.6395142362146086,0.017840916191307333,0.6220032598184626,0.6585371484490674,5
fusion,random,rmse,0.7912284032961777,0.0026085170526494597,0.788316740752655,0.7949130672683966,5
fusion,random,mae,0.599913718851211,0.0023659486397334317,0.5970049742748612,0.6026879264583558,5
fusion,random,r2,0.6140573619082131,0.0025462555851205287,0.6104577940656408,0.6168959479005683,5
fusion,random,pearson_r,0.7850886954834037,0.0015829200810951252,0.7828671428981738,0.7869355432536592,5
fusion,random,spearman_rho,0.768122304518461,0.0016363820543477115,0.7658619961596209,0.7699427139794721,5
fusion,random,auroc,0.8690501906180319,0.0012002401289091492,0.8680594408544706,0.8704898194538003,5
fusion,scaffold,rmse,0.9392413498920515,0.008706124395241306,0.9300988210767789,0.9491431275460905,5
fusion,scaffold,mae,0.7209499702248202,0.007651652205748947,0.7122816692723656,0.7300496016917661,5
fusion,scaffold,r2,0.45466743560993317,0.010105173942124079,0.44314696833116707,0.46526900120701,5
fusion,scaffold,pearson_r,0.6799879305168841,0.007073574674847724,0.6721283170108838,0.6883682928993201,5
fusion,scaffold,spearman_rho,0.662067228365505,0.007823502883714601,0.6528189067158326,0.6708062054175231,5
fusion,scaffold,auroc,0.8189513815647522,0.0037839239302276026,0.8145712206270581,0.8224889533815055,5
fusion,target,rmse,1.1955366537212635,0.030547031377618678,1.1489286107773653,1.2310139254835177,5
fusion,target,mae,0.931662647596189,0.017699751782024133,0.9058857805363678,0.9532121290702548,5
fusion,target,r2,0.07792579664146462,0.04681006184689983,0.022899469865018784,0.14886312552390812,5
fusion,target,pearson_r,0.39200982752708274,0.0338349998435308,0.3472818000528908,0.4415911922284857,5
fusion,target,spearman_rho,0.3568676254409652,0.02330805904540802,0.33450273758161353,0.3927120475351909,5
fusion,target,auroc,0.6421353696599132,0.01439062607537608,0.6266901574505734,0.6650419696801988,5
