model,split,metric,point,mean,ci_lo,ci_hi,std
esm_fp_mlp,scaffold,rmse,0.8972182286770355,0.8971882519102834,0.8892867871896579,0.9052725914780739,0.004072942848376693
esm_fp_mlp,scaffold,mae,0.6843736568557417,0.6843537925846447,0.6783876785242778,0.6904994085515138,0.0030628573705202295
esm_fp_mlp,scaffold,r2,0.5024080446105499,0.5024104533800977,0.4933353373442956,0.5111282032034715,0.0045719841124127625
esm_fp_mlp,scaffold,pearson_r,0.7108674124508194,0.7108779546857867,0.7048265653167645,0.7166658312245123,0.0030243358416690864
esm_fp_mlp,scaffold,spearman_rho,0.6947102756944834,0.6947069727456898,0.6883660546705231,0.700966691026632,0.0032232449713778784
esm_fp_mlp,scaffold,auroc,0.8369580408283801,0.8369793398908336,0.8318987141724635,0.8420510186220516,0.0025824296828041876
gnn,scaffold,rmse,0.9409209646534344,0.9408706440093825,0.9329807421322202,0.9487230368689478,0.0040161693491266755
gnn,scaffold,mae,0.7297092130168294,0.7296705839707349,0.7234867793667058,0.735933638765671,0.0031633259725519897
gnn,scaffold,r2,0.4527529063778526,0.45277894873619773,0.44344258354140936,0.4621121213582271,0.004720230425178748
gnn,scaffold,pearson_r,0.6756850735495106,0.6757132454108125,0.6693134789590328,0.6820879692129922,0.0032382243464042447
gnn,scaffold,spearman_rho,0.6565873365976291,0.6566060569101342,0.6498265608300551,0.6634622169581799,0.0034665994435442013
gnn,scaffold,auroc,0.819845281856551,0.819893957485638,0.8146779978050673,0.8252563590239329,0.0026946174067879417
fusion,scaffold,rmse,0.94447231423927,0.9444347939258317,0.9363457707915128,0.9526066651013624,0.004140661879289763
fusion,scaffold,mae,0.7257342314980296,0.7257085964431157,0.7194321696532251,0.7320582597887818,0.00320197739612118
fusion,scaffold,r2,0.4486141243623085,0.4486235495007693,0.43876686958672056,0.4584504135426975,0.005004613006628662
fusion,scaffold,pearson_r,0.6765254568727563,0.6765396018137275,0.6700583951407505,0.6830587873489146,0.003310301780394849
fusion,scaffold,spearman_rho,0.6573292738920382,0.6573152663424253,0.6504287169513246,0.6641656177007877,0.00351005307644086
fusion,scaffold,auroc,0.8206711882023549,0.8206998881739314,0.815399792468158,0.8259248603647963,0.0026952509269823326
random_forest,target,rmse,1.0674024734040686,1.0673388059969602,1.0589268259831182,1.0759573356632197,0.004367747528349747
random_forest,target,mae,0.8338668837062583,0.8338195839071354,0.8267472854499855,0.8408461375750317,0.0036012563916806716
random_forest,target,r2,0.2653681970307863,0.26536470381296856,0.25530544734018534,0.2751462222409,0.005083724167813296
random_forest,target,pearson_r,0.5196275967922142,0.5196434515738992,0.5106336830484746,0.5283816307187059,0.004529183457051769
random_forest,target,spearman_rho,0.46489666381980105,0.4649000736249567,0.4554468453610742,0.4740163432447117,0.004742017714925506
random_forest,target,auroc,0.7058447957776326,0.7058503659659243,0.6996934018139196,0.7120139401961598,0.0031522992043347916
xgboost,target,rmse,1.1354859610135364,1.1353940574064563,1.126222363242267,1.1447369153274765,0.004726868471191474
xgboost,target,mae,0.8884638543159343,0.8883933111122995,0.8808919341191183,0.8958499114950036,0.0038174720238710823
xgboost,target,r2,0.16866349007623316,0.16869556686158954,0.15727570771751642,0.1801369114066153,0.005732186702224037
xgboost,target,pearson_r,0.42644045522741814,0.42649421549441574,0.41555419737230254,0.4373107847435502,0.005444304453547535
xgboost,target,spearman_rho,0.39392548253469056,0.3939671186875952,0.38372621174839117,0.4041098966465401,0.005143574890488492
xgboost,target,auroc,0.6616788966281224,0.6616995354293281,0.6550147454606953,0.6683787505361979,0.003397625836059767
elasticnet,target,rmse,1.2672582440913933,1.267203569735616,1.2592596096286108,1.2752304989335248,0.004077159567559399
elasticnet,target,mae,1.045044841497719,1.0450046833933035,1.0375786382841523,1.052473176180096,0.0037956178675025228
