rmse,mae,r2,pearson_r,spearman_rho,gene_symbol,n_compounds,model,split
0.6498777346767552,0.48449745419939566,0.6987880885059519,0.838930546509615,0.8371253434309373,JAK1,864,mlp,scaffold
0.8542713741913174,0.6311972699010968,0.614565869197017,0.7866190075889499,0.7764435881197113,JAK2,988,mlp,scaffold
0.8687106386072472,0.6826888545840053,0.5677461248876992,0.7548957043865003,0.720733856490137,JAK3,449,mlp,scaffold
0.8880420799032908,0.7082615825406842,0.28289913417045676,0.6914576389098991,0.650249336923853,TYK2,397,mlp,scaffold
0.5728131855176389,0.4157605011154104,0.7659897637881528,0.8811142853784586,0.8769867429651995,JAK1,864,esm_fp_mlp,scaffold
0.8104914167783978,0.5909089183035167,0.6530592501715693,0.8087592509859326,0.806130144966909,JAK2,988,esm_fp_mlp,scaffold
0.7937989590930906,0.5903618649013324,0.6390810154477877,0.8031280888633713,0.7674850147285928,JAK3,449,esm_fp_mlp,scaffold
0.6870361417022843,0.5219483567725501,0.5707874757018886,0.7785216975827158,0.7175351483964222,TYK2,397,esm_fp_mlp,scaffold
0.6779797178546614,0.5186019655730989,0.6721748670519966,0.8318715255706048,0.8314333956828902,JAK1,864,gnn,scaffold
0.914391509978205,0.6807022726970163,0.558406326435318,0.7498026088760865,0.7451050367623355,JAK2,988,gnn,scaffold
0.8846270095143021,0.7060874894360922,0.5517615920334585,0.7435709780998565,0.7141314732818748,JAK3,449,gnn,scaffold
0.8360074101112325,0.6527029320935458,0.36447378114433027,0.7178594500750043,0.680240707416851,TYK2,397,gnn,scaffold
0.5875885688726868,0.4211701375466806,0.7537617483983762,0.872123769292519,0.8679275103607902,JAK1,864,fusion,scaffold
0.8456545319662276,0.6193833558665596,0.6223022182953768,0.7903967599885905,0.7830736959381498,JAK2,988,fusion,scaffold
0.8266409314885008,0.6397177233196845,0.6085984977870433,0.7841510021479713,0.7568634319062291,JAK3,449,fusion,scaffold
0.7569700310010167,0.5901224643217227,0.47896057005081094,0.7341923109958364,0.6502014745640289,TYK2,397,fusion,scaffold
